snr,object_side_size,trial,accuracy,recall,precision,f1,ext_precision,ext_recall,ext_f1,mixed_f1,object_inferred_transformation_array,agents_action
30,1,0,0.99,0.2,0.3333333333333333,0.25,1.0,0.12000000000000002,0.2142857142857143,0.33333333333333337,3,0
30,1,1,0.99,0.0,0.0,0.0,1.0,0.11200000000000002,0.20143884892086333,0.0,4,0
30,1,2,0.99,0.2,0.23584905660377364,0.2164502164502165,1.0,0.16959999999999997,0.2900136798905608,0.33333333333333337,4,0
30,1,3,0.99,0.36,0.3338278931750742,0.34642032332563516,1.0,0.21567999999999996,0.35483021847854695,0.5294117647058824,0,0
30,1,4,0.99,0.48799999999999993,0.45252225519287836,0.46959199384141653,1.0,0.21567999999999996,0.35483021847854695,0.6559139784946235,3,0
30,1,5,0.99,0.5903999999999999,0.5354033662217063,0.5615583625019022,1.0,0.220544,0.3613863981962141,0.7424547283702213,2,0
30,1,6,0.99,0.6723199999999999,0.4536033507491688,0.5417182343234324,1.0,0.29643519999999995,0.4573081631847083,0.8040566398775353,2,0
30,1,7,0.99,0.737856,0.46527301343879907,0.5706860706860707,1.0,0.31717119999999993,0.48159449584078357,0.849156662001915,2,0
30,1,8,0.99,0.7902847999999999,0.4229096314156352,0.5509736029556123,1.0,0.37373695999999995,0.5441172085811827,0.8828593081949866,2,0
30,1,9,0.99,0.8322278399999999,0.3972546829614622,0.537797651542974,1.0,0.4189895679999999,0.5905463682732303,0.908432697977125,0,0
30,1,10,0.99,0.8657822719999999,0.38040340310773496,0.528567338235009,1.0,0.4551916544,0.6256105895380264,0.9280635634638509,2,0
30,1,11,0.99,0.8926258175999999,0.3687368336584914,0.5218864175108584,1.0,0.4841533235199999,0.6524303329681903,0.9432670835399682,0,0
30,1,12,0.99,0.91410065408,0.36036263635980575,0.5169355980254496,1.0,0.507322658816,0.6731440754887893,0.9551228689374818,0,0
30,1,13,0.99,0.931280523264,0.35419459179357426,0.5132025053134149,1.0,0.5258581270528,0.6892621505624468,0.9644176618009592,0,0
30,1,14,0.99,0.9450244186112,0.3495646426314897,0.5103505553380031,1.0,0.5406865016422401,0.701877378773572,0.9717352744455239,4,0
30,1,15,0.99,0.95601953488896,0.34603960429798464,0.5081499166937933,1.0,0.5525492013137919,0.7117960588253384,0.9775153241945834,4,0
30,1,16,0.99,0.9648156279111679,0.3433267115338429,0.5064387364875523,1.0,0.5620393610510336,0.7196225332924516,0.9820927869317503,3,0
30,1,17,0.99,0.9718525023289344,0.3412214813849594,0.5051001766014958,1.0,0.5696314888408268,0.7258155724965735,0.9857253533731246,3,0
30,1,18,0.99,0.9774820018631475,0.33957727566843376,0.5040481941400778,1.0,0.5757051910726615,0.7307270348976259,0.9886127923714924,0,0
30,1,19,0.99,0.981985601490518,0.3382866808624621,0.5032183955129685,1.0,0.5805641528581291,0.7346290269943132,0.990910933714183,0,0
30,1,20,0.99,0.9855884811924144,0.3372696556957296,0.5025619579910403,1.0,0.5844513222865034,0.7377333895535377,0.9927419407676403,1,0
30,1,21,0.99,0.9884707849539315,0.33646572446646683,0.502041473547972,1.0,0.5875610578292026,0.7402059340415179,0.9942019691044464,2,0
30,1,22,0.99,0.9907766279631451,0.3358286807058419,0.5016280361140458,1.0,0.5900488462633622,0.7421770062598838,0.995366947799517,0,0
30,1,23,0.99,0.9926213023705162,0.33532290043503116,0.5012991561562155,1.0,0.5920390770106897,0.7437494287167105,0.996296989487814,3,0
30,1,24,0.99,0.9940970418964129,0.3349207180237531,0.5010372398292638,1.0,0.5936312616085517,0.745004538891089,0.9970397839324944,0,0
30,1,25,0.99,0.9952776335171303,0.3346005220935176,0.5008284622133936,1.0,0.5949050092868414,0.7460068227547321,0.9976332283770728,0,0
30,1,26,0.99,0.9962221068137043,0.3343453508815403,0.5006619212460327,1.0,0.5959240074294732,0.7468074979200514,0.9981074785348781,0,0
30,1,27,0.99,0.9969776854509634,0.3341418413675429,0.5005289951912144,1.0,0.5967392059435784,0.7474473022548986,0.9984865556730775,1,0
30,1,28,0.99,0.9975821483607707,0.3339794336565694,0.5004228500354786,1.0,0.5973913647548628,0.7479586755454122,0.9987896109097624,2,0
30,1,29,0.99,0.9980657186886166,0.33384976257250865,0.5003380588390794,1.0,0.5979130918038902,0.7483674736388871,0.999031923077759,1,0
30,1,30,0.99,0.9984525749508932,0.33374618852530286,0.5002703056766334,1.0,0.5983304734431123,0.7486943199602433,0.999225688380849,0,0
30,1,31,0.99,0.9987620599607145,0.33366343327078213,0.5002161541338681,1.0,0.5986643787544896,0.7489556741370639,0.999380646619183,2,0
30,1,32,0.99,0.9990096479685716,0.33359729550328243,0.5001728654898617,1.0,0.5989315030035918,0.7491646788852422,0.9995045786635223,4,0
30,1,33,0.99,0.9992077183748573,0.3335444277505793,0.5001382554111242,1.0,0.5991452024028735,0.7493318324097132,0.9996037021976952,3,0
30,1,34,0.99,0.9993661746998859,0.3335021606940924,0.5001105806725994,1.0,0.5993161619222988,0.7494655230669969,0.9996829868844764,4,0
30,1,35,0.99,0.9994929397599087,0.33346836440702327,0.5000884494038753,1.0,0.599452929537839,0.7495724550156666,0.9997464055861323,4,0
30,1,36,0.99,0.999594351807927,0.33344133847883595,0.5000707498401917,1.0,0.5995623436302712,0.7496579874086562,0.9997971347580042,3,0
30,1,37,0.99,0.9996754814463416,0.38398821083574336,0.5548510113809989,1.0,0.5206802986323804,0.684799164032904,0.9998377143908251,4,0
30,1,38,0.99,0.9997403851570732,0.3726590699010008,0.5429356893169823,1.0,0.5365442389059043,0.6983778602924579,0.9998701757263824,3,0
30,1,39,0.99,0.9997923081256586,0.3640669644679252,0.5337667280371305,1.0,0.5492353911247235,0.7090405941810898,0.9998961432777306,1,0
30,1,40,0.99,0.9998338465005269,0.40365661460519825,0.5751226058610079,1.0,0.4953883128997788,0.6625547473206445,0.9999169163479438,4,0
30,1,41,0.99,0.9998670772004215,0.387312203062658,0.5583427116455657,1.0,0.5163106503198229,0.68100906659321,0.9999335341827995,3,0
30,1,42,0.99,0.9998936617603371,0.37516046804909886,0.5456084469886607,1.0,0.5330485202558585,0.6954098493463146,0.9999468280530629,1,0
30,1,43,0.99,0.9999149294082696,0.4145250737801457,0.5860832682227507,1.0,0.48243881620468676,0.6508718079034358,0.9999574628948065,4,0
30,1,44,0.99,0.9999319435266157,0.3952682527960899,0.5665729596003378,1.0,0.5059510529637493,0.6719355877709636,0.9999659706053476,0,0
30,1,45,0.99,0.9999455548212925,0.38110524798431633,0.5518761480270085,1.0,0.5247608423709995,0.6883188861998812,0.9999727766695568,2,0
30,1,46,0.99,0.9999564438570341,0.42031871158108364,0.5918577150489394,1.0,0.47580867389679965,0.6448107838266737,0.9999782214542223,4,0
30,1,47,0.99,0.9999651550856272,0.39946919753405674,0.5708810524999763,1.0,0.5006469391174397,0.6672414757489595,0.9999825772392663,1,0
30,1,48,0.99,0.9999721240685018,0.38422225017491785,0.555141021768415,1.0,0.5205175512939517,0.6846583925992755,0.9999860618399813,0,0
30,1,49,0.99,0.9999776992548014,0.3728380030191096,0.5431605827879947,1.0,0.5364140410351614,0.6982675590152139,0.9999888495030684,0,0
30,1,50,0.99,0.9999821594038412,0.36420516613260007,0.5339423137538648,1.0,0.549131232828129,0.7089537944769503,0.9999910796223481,0,0
30,1,51,0.99,0.9999857275230729,0.35758155285021587,0.5267900227787323,1.0,0.5593049862625034,0.717377281788986,0.9999928637106101,0,0
30,1,52,0.99,0.9999885820184583,0.40392145531716916,0.5754169891341623,1.0,0.4951401164036916,0.6623327285133221,0.9999942909766364,1,0
30,1,53,0.99,0.9999908656147667,0.3875091783119831,0.5585666686642995,1.0,0.5161120931229533,0.6808363253139723,0.999995432786524,1,0
30,1,54,0.99,0.9999926924918133,0.37530946473420024,0.5457807510666723,1.0,0.5328896744983627,0.6952746611366543,0.9999963462325566,2,0
30,1,55,0.99,0.9999941539934507,0.36608920567148234,0.5359659246583321,1.0,0.5463117395986901,0.7065997439047741,0.9999970769881814,2,0
30,1,56,0.99,0.9999953231947606,0.3590329109527488,0.528364639975214,1.0,0.5570493916789522,0.7155192309966364,0.9999976615919122,3,0
