snr,object_side_size,trial,accuracy,recall,precision,f1,ext_precision,ext_recall,ext_f1,mixed_f1,object_inferred_transformation_array,agents_action
30,2,0,0.98,0.1,0.6666666666666666,0.1739130434782609,1.0,0.05000000000000001,0.09523809523809525,0.18181818181818182,2,0
30,2,1,0.98,0.18,0.6666666666666666,0.28346456692913385,1.0,0.09000000000000001,0.1651376146788991,0.3050847457627119,0,0
30,2,2,0.98,0.294,0.7067307692307693,0.4152542372881356,1.0,0.13866666666666663,0.24355971896955497,0.4544049459041731,2,0
30,2,3,0.98,0.34519999999999995,0.7623674911660777,0.4752202643171806,1.0,0.1509333333333333,0.26227988878591285,0.5132322331251858,3,0
30,2,4,0.98,0.4261599999999999,0.8949932795698925,0.5773899848254931,1.0,0.15871999999999997,0.27395747031206846,0.5976328041734448,4,0
30,2,5,0.98,0.4909279999999999,0.8450754654621572,0.6210630718160473,1.0,0.19364266666666663,0.3244566771518444,0.658553598832405,0,0
30,2,6,0.98,0.5427424,0.8164702597577648,0.6520437035784035,1.0,0.2215808,0.36277714908420305,0.7036072904977526,0,0
30,2,7,0.98,0.5841939199999999,0.7983038722158282,0.6746690968865394,1.0,0.24393130666666663,0.3921941756097828,0.7375282945158632,0,0
30,2,8,0.98,0.4689895679999999,0.7361669612823194,0.5729622945382367,1.0,0.21235652266666663,0.3503202543086467,0.6385199435262428,4,0
30,2,9,0.98,0.3751916544,0.5602754967195271,0.449423991601223,0.9253347602286744,0.20655188480000006,0.33771869230128937,0.5339036188098489,1,0
30,2,10,0.98,0.40015332352,0.7611463905863944,0.5245420354086018,1.0,0.17524150784,0.298222121446476,0.5715850068676912,3,0
30,2,11,0.98,0.35127709081599995,0.6156495592060035,0.4473215959351545,1.0,0.190193206272,0.3196005577409326,0.5199186653921191,3,0
30,2,12,0.98,0.3010216726528,0.618795761562695,0.40501718764427347,1.0,0.16215456501759998,0.2790585175133641,0.46274659212865055,1,0
30,2,13,0.98,0.39081733812223995,0.8587319907056093,0.5371654292076612,1.0,0.15170326417407998,0.26344158064511664,0.5619966438581897,1,0
30,2,14,0.98,0.46265387049779194,0.8999510198130461,0.6111321418785739,1.0,0.171362611339264,0.29258678684193024,0.6326224950819496,0,0
30,2,15,0.98,0.5701230963982336,1.0,0.7262145212767853,1.0,0.1900410321327445,0.31938567999148815,0.7262145212767853,1,0
30,2,16,0.98,0.6560984771185868,1.0,0.7923423470083972,1.0,0.21869949237286226,0.3589063485158997,0.7923423470083972,0,0
30,2,17,0.98,0.6248787816948695,0.8620458999142093,0.7245480532618789,1.0,0.24162626056495654,0.3892093268952178,0.7691389520676422,2,0
30,2,18,0.98,0.5999030253558956,0.8571230636570676,0.7058085272014838,1.0,0.23330100845196522,0.37833587559423754,0.7499242339671784,4,0
30,2,19,0.98,0.6299224202847165,0.9264621984680802,0.7499422743318778,1.0,0.22664080676157217,0.36953084474651005,0.7729477335181155,2,0
30,2,20,0.98,0.5539379362277732,1.0,0.7129473105888292,1.0,0.18464597874259106,0.3117319132566141,0.7129473105888292,2,0
30,2,21,0.98,0.5431503489822185,0.9157043402473005,0.6818569877340318,1.0,0.19771678299407283,0.33015615344358296,0.7039500063496109,3,0
30,2,22,0.98,0.5845202791857749,0.7546868621700388,0.6587924477864829,1.0,0.2581734263952583,0.4103940219671314,0.7377883222626065,3,0
30,2,23,0.98,0.6176162233486198,0.7821726619666208,0.6902219764112042,1.0,0.26320540778287327,0.4167262207099646,0.7636127957100917,2,0
30,2,24,0.98,0.6440929786788958,0.7305184392462633,0.684588810158714,1.0,0.29389765955963193,0.45428269753522504,0.7835237873182259,0,0
30,2,25,0.98,0.6652743829431167,0.7742281117056848,0.7156279772865244,1.0,0.28642479431437223,0.44530359735024927,0.7989967176067964,2,0
30,2,26,0.98,0.6822195063544934,0.7687677603088097,0.7229124252002507,1.0,0.29580650211816445,0.45655968176518674,0.8110945138579668,1,0
30,2,27,0.98,0.6957756050835947,0.7646426859180596,0.728585406996632,1.0,0.3033118683611983,0.4654478727989896,0.8205986723689139,4,0
30,2,28,0.98,0.7566204840668758,0.7658501392220963,0.7612073352313515,1.0,0.32931616135562525,0.4954670242176119,0.8614501435337591,1,0
30,2,29,0.98,0.7052963872535007,0.677935723612669,0.6913454551813318,1.0,0.34678626241783356,0.5149833675838978,0.8271833477457018,1,0
30,2,30,0.98,0.6642371098028006,0.6137347039295378,0.6379880393969567,1.0,0.36076234326760015,0.5302356360057717,0.7982481653488759,0,0
30,2,31,0.98,0.5813896878422404,0.60195884811378,0.5914954997024681,1.0,0.32194320794741343,0.48707570190900407,0.7352895903039933,1,0
30,2,32,0.98,0.5424344729193438,0.6215847794460344,0.5793186178464702,0.9339951918922097,0.2716878996912641,0.4209318249187129,0.6862923465953482,2,0
30,2,33,0.98,0.5339475783354749,0.6266615541396842,0.5766013895741788,1.0000000000000002,0.284016986419678,0.442388207357948,0.6961744793324357,1,0
30,2,34,0.98,0.5771580626683799,0.6857534532772015,0.6267868010773218,1.0,0.2805469224690757,0.43816734482191644,0.73189628399311,1,0
30,2,35,0.98,0.511726450134704,0.7045489638803573,0.5928531253335264,1.0,0.24210593177055736,0.38983137521201267,0.6770093228032175,3,0
30,2,36,0.98,0.18686031822847998,0.3428791781323535,0.2418944133102337,0.751193603068719,0.13646038670258775,0.230964251261187,0.29927549479567095,2,0
30,2,37,0.98,0.149488254582784,0.33519094888701595,0.2067640185192692,0.84646272316109,0.12583497602873686,0.2190987730752609,0.25410133205829855,4,0
30,2,38,0.98,0.21959060366622718,0.5152857240221965,0.30794815109787493,0.8714556576479044,0.12379117384785736,0.21678746498385612,0.3507889275029657,2,0
30,2,39,0.98,0.18706254337343486,0.6063834287417035,0.2859214878551726,1.0,0.10282962589177025,0.1864832490487733,0.31516880794138136,3,0
30,2,40,0.98,0.0776500346987479,0.261631949673661,0.11975719847335908,0.8315313375655969,0.08226370071341621,0.14971594771657443,0.1420364279005302,3,0
30,2,41,0.98,0.1621200277589983,0.3623337362658973,0.22401042536386642,0.9999999999999999,0.14914429390406628,0.25957452809928366,0.2790073725372865,2,0
