snr,object_side_size,trial,accuracy,recall,precision,f1,ext_precision,ext_recall,ext_f1,mixed_f1,object_inferred_transformation_array,agents_action
30,2,0,0.88,0.2,0.3333333333333333,0.25,0.6666666666666665,0.13333333333333333,0.2222222222222222,0.3076923076923077,1,0
30,2,1,0.88,0.36,0.7058823529411764,0.47682119205298007,1.0,0.17,0.2905982905982906,0.5294117647058824,4,0
30,2,2,0.88,0.48799999999999993,0.5374449339207048,0.5115303983228511,0.8898678414096916,0.2693333333333333,0.413510747185261,0.6303296928153055,4,0
30,2,3,0.88,0.5903999999999999,0.5336225596529284,0.5605772882643372,0.9096167751265365,0.33546666666666664,0.49016169881161115,0.7160423175792876,2,0
30,2,4,0.88,0.6723199999999999,0.5578863515666488,0.6097808736032505,0.9999999999999998,0.40170666666666666,0.5731679476447759,0.8040566398775354,2,0
30,2,5,0.88,0.737856,0.5039669529866893,0.598885757697752,0.931698467860031,0.45469866666666675,0.6111409790470457,0.8235242610353278,3,0
30,2,6,0.88,0.7902847999999999,0.5445445004013019,0.6447944189738182,1.0,0.4837589333333332,0.6520721425367211,0.8828593081949866,1,0
30,2,7,0.88,0.8322278399999999,0.5331303072941779,0.6499186824457042,0.9999999999999999,0.5203404799999999,0.6845051971516273,0.9084326979771249,4,0
30,2,8,0.88,0.8657822719999999,0.5219274896911603,0.6512537135912082,0.9397160802928569,0.5196057173333334,0.6691900974610304,0.9012354090466848,1,0
30,2,9,0.88,0.8926258175999999,0.5109320947397706,0.6498786758928742,0.9427607756054477,0.5490179071999999,0.693926725162427,0.9170085596586073,4,0
30,2,10,0.88,0.53020678144,0.39758450967683706,0.4544168613016436,0.7794139152888317,0.34646767616,0.4796982738644613,0.6310995916100849,4,0
30,2,11,0.88,0.298153721856,0.2799199391699325,0.2887492626358442,0.5480916868267665,0.19459799449600002,0.2872196712534263,0.3862132064033294,4,0
30,2,12,0.88,0.1142561046528,0.14400371029660636,0.12741667144200336,0.43201113088981913,0.1142561046528,0.18071707680981958,0.18071707680981958,4,0
30,2,13,0.88,0.29140488372224,0.3366431462982415,0.3123947603170698,0.7788810487660803,0.22473821705557337,0.3488261817189347,0.424129168775397,2,0
30,2,14,0.88,0.4331239069777919,0.4695132354811547,0.45058506317477576,0.9207325164853425,0.28312390697779194,0.4330772046701751,0.5891189906260912,2,0
30,2,15,0.88,0.5464991255822336,0.4600174533434089,0.4995429608781661,0.8665828348218922,0.34316579224890026,0.4916419467753614,0.6702891619100377,2,0
30,2,16,0.88,0.6371993004657868,0.5638935353350507,0.5983093988119568,0.9115043699949372,0.34333310015526225,0.49878909197375515,0.7500594955773515,3,0
30,2,17,0.88,0.7097594403726295,0.6204193947345314,0.6620892030170237,1.0,0.3813331467908765,0.5521233565947397,0.8302447977335837,1,0
30,2,18,0.88,0.7678075522981035,0.5240293385933881,0.6229171602618047,0.8976248663434742,0.4383998507660345,0.5890888131175279,0.827656702000852,2,0
30,2,19,0.88,0.8142460418384828,0.5245891079051861,0.6380839415295585,0.9355736373343959,0.48405321394616085,0.6380091016544394,0.8707035817634109,2,0
30,2,20,0.88,0.8513968334707862,0.5451634277390394,0.6647051745536697,1.0,0.5205759044902621,0.6847088697815097,0.9197345680609005,4,0
30,2,21,0.88,0.568349466776629,0.4585748287959367,0.5075948841546082,0.7271692493461385,0.30041353425887635,0.4251754460775718,0.6380243681220196,1,0
30,2,22,0.88,0.6546795734213032,0.5359611124153647,0.5894016500871232,0.8767805587091867,0.3569974940737677,0.507398330851719,0.7496248973341384,1,0
30,2,23,0.88,0.7237436587370424,0.5412246392662243,0.6193165492597373,0.872543263663498,0.38893132859234747,0.538036061723739,0.7912082034732405,3,0
30,2,24,0.88,0.2934232733576341,0.30256474944130424,0.29792390379512856,0.7694630675021601,0.24873835260187796,0.3759471790540589,0.42484010437400566,3,0
30,2,25,0.88,0.4347386186861072,0.32668737386031177,0.3730464130315741,0.8243273120498665,0.36565734874816913,0.5065970165072844,0.569258381530999,1,0
30,2,26,0.88,0.5477908949488857,0.4074010840473292,0.46727905874577497,0.8832209902786365,0.39585921233186855,0.5466915441472763,0.6761934288553457,2,0
30,2,27,0.88,0.6382327159591086,0.41560299528181904,0.5034018597208352,0.8791305154603503,0.4500207031988282,0.5953076327464316,0.7395590521063354,4,0
30,2,28,0.88,0.7105861727672869,0.4183504041323572,0.5266443104615353,0.8713642464564231,0.4933498958923959,0.6300036717341407,0.7828050455330483,3,0
30,2,29,0.88,0.7684689382138296,0.4161366619276638,0.53990644431396,0.8078737192221003,0.49729325004724995,0.6156302709447555,0.7876788162686617,3,0
30,2,30,0.88,0.8147751505710635,0.4811179936629045,0.6049927611290249,0.9409508263321853,0.5311679333711333,0.6790252519130374,0.8733291655876897,4,0
30,2,31,0.88,0.8518201204568508,0.49386515483648924,0.6252342704583082,0.9710111828204047,0.5582676800302401,0.7089408916645814,0.9075188265945847,4,0
30,2,32,0.88,0.8814560963654806,0.47909325331328695,0.6207781716411468,0.9456475194523313,0.5799474773575253,0.7189665599619611,0.9124241929334217,3,0
30,2,33,0.88,0.9051648770923846,0.4544287950879054,0.6050822284180788,0.8995920397292383,0.5972913152193536,0.7179163437076114,0.902369854338987,2,0
30,2,34,0.88,0.5824268288,0.3340562721925037,0.424586847358402,0.7113544145010279,0.4134152738913026,0.5229244406916309,0.6404666908504798,3,0
30,2,35,0.88,0.6659414630399999,0.39293233902668645,0.4942419695650969,0.7742489850046962,0.4373988857797088,0.5590001047711715,0.7160226656568696,3,0
30,2,36,0.88,0.732753170432,0.4730233687062763,0.5749147737700349,0.8842366716908959,0.45658577529043365,0.6022123021480743,0.8013992515167564,1,0
30,2,37,0.88,0.7862025363455999,0.47960597455848825,0.59577326332728,0.9124842447144537,0.49860195356568027,0.6448456905992773,0.844649449879413,0,0
30,2,38,0.88,0.8289620290764799,0.4576325408393473,0.5897117996548504,0.8814355061067164,0.5322148961858774,0.6636904083447309,0.8543938477600959,2,0
30,2,39,0.88,0.863169623261184,0.5146136753475107,0.6448022598667329,1.0,0.5591052502820353,0.7172129658095829,0.9265604295870195,3,0
30,2,40,0.88,0.8905356986089472,0.535869245110081,0.6691097008019844,1.0,0.5539508668922949,0.7129580203525052,0.9420987916432383,1,0
30,2,41,0.88,0.9124285588871577,0.527573294428973,0.6685726683401703,1.0000000000000002,0.5764940268471693,0.7313621454057772,0.9542093006790278,1,0
30,2,42,0.88,0.9299428471097263,0.49370881540954886,0.6449906160790368,0.9469097679557403,0.5945285548110688,0.730441027142384,0.9383496162676112,4,0
30,2,43,0.88,0.943954277687781,0.5403693870723428,0.6872948354439868,1.0,0.5822895105155217,0.7360088108348862,0.9711692178383526,1,0
30,2,44,0.88,0.9551634221502248,0.47818067415357407,0.6373078039089681,0.8998745841675735,0.5991649417457506,0.7193583537735498,0.9266950697421549,1,0
30,2,45,0.88,0.9141307377201798,0.471688694748116,0.6222818419227621,0.9484003025732953,0.6126652867299339,0.7444298910850665,0.9309502494076694,3,0
