snr,object_side_size,trial,accuracy,recall,precision,f1,ext_precision,ext_recall,ext_f1,mixed_f1,object_inferred_transformation_array,agents_action
30,4,0,0.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
30,4,1,0.955,0.13749999999999998,0.6874999999999999,0.22916666666666663,1.0000000000000002,0.10000000000000002,0.18181818181818185,0.24175824175824173,1,0
30,4,2,0.955,0.22000000000000003,0.7154471544715447,0.3365200764818356,1.0000000000000002,0.15375000000000005,0.2665222101841821,0.3606557377049181,3,0
30,4,3,0.955,0.2935,0.7653194263363755,0.42428623057462955,1.0000000000000002,0.19175000000000003,0.32179567862387254,0.45380749903362966,4,0
30,4,4,0.955,0.33730000000000004,0.6964691307041091,0.45449033214309775,1.0000000000000004,0.2421500000000001,0.38988849977860984,0.5044492634412624,2,0
30,4,5,0.955,0.27233999999999997,0.8254228041462083,0.40955231063055475,1.0000000000000002,0.16497000000000003,0.283217593586101,0.42809311976358516,0,0
30,4,6,0.955,0.343852,0.7798653699604455,0.47726995125309524,0.9999999999999999,0.22045599999999999,0.3612682472780665,0.5117408762274417,4,0
30,4,7,0.955,0.2485616,0.8117367972787268,0.3805845554955346,1.0,0.15310479999999999,0.2655522724387237,0.3981567269087885,0,0
30,4,8,0.955,0.34884928000000004,0.7422835544776186,0.47463530626741407,1.0000000000000004,0.23498384000000008,0.3805456110259711,0.5172546483473678,2,0
30,4,9,0.955,0.396579424,0.7603433067942497,0.5212733791542123,1.0,0.260789712,0.4136926396493312,0.5679296389232783,1,0
30,4,10,0.955,0.41976353920000004,0.7498943925499606,0.5382399686240852,0.9999999999999998,0.27988176959999994,0.4373556624491512,0.5913147191207992,3,0
30,4,11,0.955,0.48831083136,0.723090477279325,0.5829495305818495,1.0,0.3376554156799999,0.5048466319830986,0.6561946887315032,3,0
30,4,12,0.955,0.5406486650879999,0.8031161145847959,0.6462494951931377,1.0,0.33659433254399995,0.5036596734677826,0.7018454983792412,2,0
30,4,13,0.955,0.5950189320703999,0.7667266508951535,0.6700471493537262,0.9999999999999996,0.3880254660351998,0.5591042463270764,0.7460963880824172,1,0
30,4,14,0.955,0.5519951456563199,0.7712221904457199,0.6434481981660534,1.0,0.3578703728281599,0.5271053555469964,0.7113361755044509,1,0
30,4,15,0.955,0.604096116525056,0.7947664788301123,0.6864367451095705,0.9999999999999999,0.38004629826252795,0.550773258463871,0.7531919194888468,3,0
30,4,16,0.955,0.6332768932200448,0.793506406605709,0.7043946645392247,0.9999999999999996,0.39903703861002215,0.570445281429397,0.7754678901646909,4,0
30,4,17,0.955,0.6066215145760359,0.7742859701484365,0.6802751569126836,1.0,0.391729630888018,0.562939269516117,0.7551517380695782,2,0
30,4,18,0.955,0.6477972116608287,0.7388472754578641,0.6903329719059212,1.0,0.4383837047104142,0.6095504325790075,0.7862584146600279,3,0
30,4,19,0.955,0.6682377693286629,0.782558695647896,0.7208940602939052,1.0000000000000002,0.4269569637683315,0.5984160344132825,0.8011301285878177,1,0
30,4,20,0.955,0.6595902154629303,0.7684550060978454,0.7098730423840066,1.0,0.4291664510146651,0.6005828792160212,0.794883229989329,2,0
30,4,21,0.955,0.6651721723703442,0.7587518260522862,0.7088869925420923,1.0,0.438333160811732,0.6095015713388072,0.7989229983629655,4,0
30,4,22,0.955,0.6946377378962755,0.7802158566829394,0.7349439696916743,1.0,0.44515740864938563,0.6160677113580597,0.8198067614835479,2,0
30,4,23,0.955,0.7057101903170204,0.7909316044350264,0.7458945688284248,1.0000000000000002,0.4461259269195086,0.6169945764956056,0.8274678715331569,2,0
30,4,24,0.955,0.5770681522536162,0.7945297726963818,0.6685601071569155,1.0000000000000002,0.36315074153560684,0.5328108337108967,0.7318239879855426,0,0
30,4,25,0.955,0.575893182922893,0.7727207233567603,0.6599436574282622,1.0,0.3726399237884854,0.5429536433123692,0.7308784493308782,1,0
30,4,26,0.955,0.48571454633831435,0.7946589846566529,0.6029137886445246,1.0,0.30561193903078837,0.46815126285940245,0.653846389988446,0,0
30,4,27,0.955,0.5017970681532802,0.7409830314280524,0.5983731359187136,1.0,0.33860226676594507,0.5059042184113524,0.6682621491202225,2,0
30,4,28,0.955,0.5389376545226241,0.7364914499243524,0.6224147986183868,0.9999999999999996,0.36588181341275583,0.5357444689867761,0.7004021936025753,4,0
30,4,29,0.955,0.6061501236180994,0.7572986856027738,0.6733464267811516,1.0,0.40020545073020475,0.5716381842700273,0.7547863860355137,4,0
30,4,30,0.955,0.6474200988944795,0.7375243977353683,0.68954116165789,1.0,0.4389143605841639,0.6100632151672674,0.7859805757243562,1,0
30,4,31,0.955,0.6804360791155835,0.743838673265615,0.7107261706144866,0.9999999999999998,0.45738148846733095,0.6276757212668325,0.8098327423125766,2,0
30,4,32,0.955,0.5453288632924669,0.7941176920369069,0.6466182567656596,0.9999999999999999,0.34335519077386484,0.5111904775922571,0.7057771018792633,0,0
30,4,33,0.955,0.4612630906339736,0.8030789415559642,0.5859659256341416,1.0,0.2871841526190919,0.4462207711845198,0.6313210722839145,0,0
30,4,34,0.955,0.5190104725071787,0.8290197321352516,0.638368370992729,1.0,0.31302660985547204,0.4768016238298896,0.6833533828776495,4,0
30,4,35,0.955,0.590208378005743,0.8302940737158998,0.6899622283956044,1.0,0.35542128788437766,0.5244440102296761,0.7423031926745534,1,0
30,4,36,0.955,0.6221667024045943,0.8015814157865805,0.7005695175946524,0.9999999999999996,0.38808703030750197,0.5591681527656509,0.7670810915824309,3,0
30,4,37,0.955,0.6227333619236756,0.8433102156953122,0.7164280977478634,1.0,0.3692196242460017,0.539313953302886,0.7675116276471371,1,0
30,4,38,0.955,0.5981866895389405,0.8185912343465735,0.6912450741982917,0.9999999999999999,0.3653756993968013,0.535201702444562,0.7485817438656192,2,0
30,4,39,0.955,0.6410493516311523,0.7797694672690895,0.7036375148824878,1.0,0.411050559517441,0.5826163446021586,0.7812676090380452,1,0
30,4,40,0.955,0.6878394813049219,0.7770609205566116,0.7297331338823765,0.9999999999999999,0.4425904476139528,0.6136051272847373,0.8150531954296169,4,0
30,4,41,0.955,0.7252715850439374,0.7669599085499483,0.7455334255136157,0.9999999999999997,0.4728223580911621,0.6420629826722065,0.8407622212423639,0,0
30,4,42,0.955,0.7552172680351499,0.7991752869760376,0.7765747139813162,0.9999999999999999,0.4724978864729298,0.641763755063449,0.8605399249297107,3,0
30,4,43,0.955,0.61667381442812,0.8266362708257198,0.7063831223559682,0.9999999999999999,0.3730019091783438,0.5433377866190473,0.7628920675581812,0,0
30,4,44,0.955,0.630839051542496,0.826546116066382,0.7155521814057386,1.0,0.38161152734267506,0.5524150888877546,0.7736374119148418,2,0
30,4,45,0.955,0.5171712412339968,0.8720115301535042,0.6492727878699667,1.0,0.2965392218741401,0.4574319339842174,0.6817572429244753,0,0
30,4,46,0.955,0.5387369929871973,0.8457808547474758,0.6582124385876712,1.0000000000000002,0.31848497749931204,0.4831074800766597,0.700232717407191,2,0
30,4,47,0.955,0.568489594389758,0.8011680542079916,0.6650650294123157,1.0000000000000002,0.35478798199944966,0.5237542504264608,0.7248879385915677,1,0
30,4,48,0.955,0.4773552639791032,0.6390608584251483,0.5464970608186682,0.9248161020375542,0.3454020291652472,0.5029582721291911,0.6296888457712485,3,0
30,4,49,0.955,0.5318842111832824,0.6647962958770189,0.5909591596820394,0.9438453382968456,0.3775716233321977,0.5393743638887989,0.6803637338777788,1,0
30,4,50,0.955,0.563007368946626,0.6797451991871031,0.6158934062363566,0.9566053310370749,0.3961600988072989,0.5602876213459035,0.7088330474643656,2,0
