snr,object_side_size,trial,accuracy,recall,precision,f1,ext_precision,ext_recall,ext_f1,mixed_f1,object_inferred_transformation_array,agents_action
40,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
40,2,1,1.0,0.2,0.6666666666666667,0.30769230769230776,1.0,0.09999999999999999,0.1818181818181818,0.33333333333333337,2,0
40,2,2,1.0,0.36,0.6666666666666667,0.46753246753246747,1.0,0.17999999999999997,0.30508474576271183,0.5294117647058824,0,0
40,2,3,1.0,0.48799999999999993,0.7721518987341772,0.5980392156862745,1.0,0.21066666666666664,0.34801762114537443,0.6559139784946235,4,0
40,2,4,1.0,0.5903999999999999,0.7328699106256207,0.6539654408506868,1.0,0.2685333333333333,0.4233760773596804,0.7424547283702213,1,0
40,2,5,1.0,0.6723199999999999,0.8864978902953586,0.7646951774340308,1.0,0.25279999999999997,0.40357598978288634,0.8040566398775353,3,0
40,2,6,1.0,0.737856,0.8137638962413976,0.7739531761349332,1.0,0.30224,0.4641847892861531,0.849156662001915,2,0
40,2,7,1.0,0.7902847999999999,0.8925979470868874,0.8383312400285142,1.0,0.2951253333333333,0.4557479121711772,0.8828593081949866,4,0
40,2,8,1.0,0.8322278399999999,0.8684411408192501,0.8499489353218871,1.0,0.3194336,0.48419806801948956,0.908432697977125,1,0
40,2,9,1.0,0.8657822719999999,0.8516109212395837,0.8586381280107496,1.0,0.3388802133333333,0.5062143871551327,0.9280635634638509,0,0
40,2,10,1.0,0.8926258175999999,0.9253596589617135,0.9086980427554776,1.0,0.32154193919999996,0.48661632243717745,0.9432670835399682,3,0
40,2,11,1.0,0.91410065408,0.9407224851005834,0.9272205212170216,1.0,0.32390021802666663,0.489312130349906,0.9551228689374818,0,0
40,2,12,1.0,0.881280523264,1.0,0.9368943252917842,1.0,0.29376017442133334,0.454118437449545,0.9368943252917842,4,0
40,2,13,1.0,0.9050244186112,1.0,0.9501446908181685,1.0,0.3016748062037333,0.4635179305398899,0.9501446908181685,4,0
40,2,14,1.0,0.9240195348889599,1.0,0.9605095147251584,1.0,0.3080065116296533,0.47095562428952453,0.9605095147251584,1,0
40,2,15,1.0,0.9392156279111681,0.903773579501493,0.9211538152767452,1.0,0.3464052093037227,0.5145630853327758,0.9686551762403514,1,0
40,2,16,1.0,0.8513725023289345,1.0,0.9197203709766135,1.0,0.28379083410964484,0.4421138188082858,0.9197203709766135,4,0
40,2,17,1.0,0.7810980018631476,1.0,0.8770971625885459,1.0,0.2603660006210492,0.4131593529066208,0.8770971625885459,3,0
40,2,18,1.0,0.7748784014905179,0.9393850052205849,0.8492383940295587,1.0,0.274959467163506,0.4313226800460223,0.873162241244004,3,0
40,2,19,1.0,0.7699027211924144,0.895336998265108,0.8278956876828665,1.0,0.2866342403974715,0.4455566802091687,0.8699943923174688,0,0
40,2,20,1.0,0.8159221769539315,0.8258972173999282,0.8208793949913662,1.0,0.3293073923179772,0.4954570992699409,0.8986312159286227,2,0
40,2,21,1.0,0.8527377415631452,0.7820858703291619,0.8158851314864285,1.0,0.36344591385438174,0.5331284653997627,0.920516403842127,2,0
40,2,22,1.0,0.8321901932505162,0.852487762122964,0.8422167017049071,1.0,0.32539673108350536,0.49101785669487075,0.9084102691043391,4,0
40,2,23,1.0,0.865752154600413,0.8825630796978816,0.8740767944241923,1.0,0.326984051533471,0.4928228808109731,0.9280462600198156,1,0
40,2,24,1.0,0.8926017236803303,1.0,0.9432536307159097,1.0,0.2975339078934434,0.458614462532994,0.9432536307159097,0,0
40,2,25,1.0,0.9140813789442643,0.9013885847069713,0.9076906112139371,1.0,0.3380271263147548,0.5052619930744782,0.9551123468412168,1,0
40,2,26,1.0,0.9312651031554114,0.9118740083040866,0.921467551882835,1.0,0.3404217010518038,0.5079322436882083,0.9644093932354053,1,0
40,2,27,1.0,0.9450120825243291,0.8856620257650942,0.91437499617345,1.0,0.3556706941747763,0.5247154721320876,0.9717287527569983,2,0
40,2,28,1.0,0.9060096660194633,0.859910169049955,0.8823582017663492,1.0,0.3512032220064878,0.5198377509564605,0.9506873781092479,3,0
40,2,29,1.0,0.8748077328155708,0.8388321247712633,0.856442298578869,1.0,0.34762924427185693,0.5159122893028133,0.9332239434513018,0,0
40,2,30,1.0,0.8498461862524564,0.8216550485030458,0.8355128849037686,1.0,0.3447700620841521,0.5127568969669364,0.9188290275897288,4,0
40,2,31,1.0,0.8298769490019652,0.848998996701964,0.8393290747796631,1.0,0.3258256496673217,0.49150602833649865,0.9070303327823099,0,0
40,2,32,1.0,0.8639015592015722,0.8371288726030717,0.8503045269180746,1.0,0.3439938530671907,0.5118979559052989,0.9269819588236583,2,0
40,2,33,1.0,0.8411212473612577,0.8990321830464642,0.8691131000382861,1.0,0.31186174912041925,0.47544910784923367,0.9137054374520682,3,0
40,2,34,1.0,0.8728969978890062,0.8325450401323603,0.8522436411642091,1.0,0.34948939929633543,0.5179579765184814,0.9321356154373385,1,0
40,2,35,1.0,0.898317598311205,0.7888458622077085,0.8400301890822232,1.0,0.3795915194370683,0.550295524565065,0.9464355164914161,0,0
40,2,36,1.0,0.868654078648964,0.8174382389359974,0.8422683062958686,1.0,0.3542180262163213,0.5231329362909233,0.9297109492592663,3,0
40,2,37,1.0,0.8949232629191712,0.8441690643170089,0.8688055506456202,1.0,0.3533744209730571,0.522212353797829,0.9445482890325829,1,0
40,2,38,1.0,0.9159386103353369,0.9105313196299345,0.9132269608013751,1.0,0.33531287011177896,0.5022236774872243,0.9561252175768041,2,0
40,2,39,1.0,0.9327508882682695,0.8843328776899119,0.9078968098701111,1.0,0.3515836294227565,0.5202543472251335,0.965205494334562,1,0
40,2,40,1.0,0.9462007106146155,0.9064955608791159,0.9259226750440578,1.0,0.3479335702048718,0.5162473550562132,0.9723567620276973,3,0
40,2,41,1.0,0.9569605684916924,0.9245633433346659,0.9404830383317235,1.0,0.34501352283056413,0.5130261026736557,0.978007001162277,3,0
