snr,object_side_size,trial,accuracy,recall,precision,f1,ext_precision,ext_recall,ext_f1,mixed_f1,object_inferred_transformation_array,agents_action
30,2,0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
30,2,1,0.92,0.2,0.5,0.28571428571428575,0.9999999999999999,0.13333333333333333,0.23529411764705876,0.3333333333333333,2,0
30,2,2,0.92,0.36,0.7058823529411764,0.47682119205298007,1.0,0.17,0.2905982905982906,0.5294117647058824,4,0
30,2,3,0.92,0.48799999999999993,0.6796657381615598,0.5681024447031431,1.0,0.23933333333333331,0.38622915545992464,0.6559139784946235,4,0
30,2,4,0.92,0.5903999999999999,0.6318493150684931,0.6104218362282878,1.0,0.31146666666666667,0.47498983326555516,0.7424547283702213,2,0
30,2,5,0.92,0.23615999999999998,0.3704354373196135,0.28843617177194786,0.8312209813025473,0.17664,0.29136334645582707,0.3678183336279033,2,0
30,2,6,0.92,0.38892799999999994,0.5737619789453806,0.4636011672038601,1.0,0.22595200000000001,0.3686147581634518,0.5600405492581328,1,0
30,2,7,0.92,0.5111423999999999,0.5424500108672027,0.5263310509354755,0.9999999999999999,0.31409493333333327,0.478039942725599,0.6764979925121548,1,0
30,2,8,0.92,0.6089139199999999,0.5516384873931065,0.578862878818069,1.0,0.3679426133333333,0.5379503639216989,0.7569254171161623,1,0
30,2,9,0.92,0.6871311359999999,0.5572558268979296,0.6154160093212124,0.9999999999999998,0.41102075733333326,0.5825864080272144,0.8145556931977573,1,0
30,2,10,0.92,0.4748524543999999,0.3553088549577874,0.40647348881455375,0.8788637984995749,0.3915191210666667,0.5417138039660547,0.6165703202675364,4,0
30,2,11,0.92,0.5798819635199999,0.4086093344966557,0.47940772706029167,0.9087389886716037,0.42988196352,0.58366111801515,0.707985935979547,2,0
30,2,12,0.92,0.663905570816,0.45971086934863437,0.5432540789106033,0.9567477951605386,0.46057223748266646,0.6218094185854584,0.7838692769323532,0,0
30,2,13,0.92,0.7311244566527999,0.5023621235241499,0.5955301671005636,1.0,0.4851244566527999,0.6533115180746294,0.8446815638737598,0,0
30,2,14,0.92,0.7848995653222399,0.5177666157180723,0.6239431061163104,1.0,0.5053110426555733,0.6713709370843861,0.8794887741266683,2,0
30,2,15,0.92,0.827919652257792,0.5133600668421203,0.6337542899823795,1.0,0.537582167457792,0.6992565065275435,0.9058600045523558,0,0
30,2,16,0.92,0.8123357218062336,0.5079954962492637,0.6250899508802132,1.0000000000000002,0.5330334145374891,0.6953969945897147,0.8964517026642648,2,0
30,2,17,0.92,0.8498685774449868,0.5060909906703628,0.634400671542968,0.9999999999999999,0.5597600649633245,0.717751502345954,0.9188421143071834,4,0
30,2,18,0.92,0.8798948619559894,0.5556911953570713,0.6811849768783912,0.9999999999999999,0.5278080519706596,0.6909350311249645,0.9361107152987035,2,0
30,2,19,0.92,0.9039158895647916,0.5423258911296437,0.6779184460831783,1.0,0.555579774909861,0.7143057320117888,0.9495334268904222,2,0
30,2,20,0.92,0.9231327116518332,0.5325587053296337,0.6754485958077108,1.0000000000000002,0.5777971532612222,0.7324099325023454,0.9600301695860901,1,0
30,2,21,0.92,0.8885061693214666,0.5267677909138329,0.6614075368827763,1.0000000000000002,0.5622377226089778,0.7197851062897471,0.9409618922671603,1,0
30,2,22,0.92,0.9108049354571732,0.5206472371741685,0.6625552460878514,1.0000000000000002,0.5831235114205156,0.7366746905265612,0.9533206854934745,2,0
30,2,23,0.92,0.9286439483657387,0.5021063758779882,0.6517951308400566,0.9459312283505843,0.583165475803079,0.7215167403861255,0.9372078769512822,2,0
30,2,24,0.92,0.9429151586925908,0.5547874466435612,0.6985599029189905,1.0000000000000002,0.5665323806424633,0.7232948231942938,0.9706189737354142,1,0
30,2,25,0.92,0.9543321269540728,0.5581941668859906,0.7043879219913816,1.0,0.5698925711806373,0.7260274768381759,0.9766324912659022,2,0
30,2,26,0.92,0.9634657015632582,0.5300343013560932,0.6838565370076075,0.9724933487255386,0.5892473902778431,0.7338467307509268,0.9679584765552575,3,0
30,2,27,0.92,0.9707725612506064,0.6051467095661819,0.7455455771836114,1.0,0.5347312455556078,0.6968402410573493,0.9851695526292255,1,0
30,2,28,0.92,0.9766180490004852,0.5979214900485438,0.7417291272588217,1.0,0.544451663111153,0.70504202380074,0.9881707287802323,4,0
30,2,29,0.92,0.6314866134075258,0.40051564982280474,0.4901544896454722,0.8949630310453344,0.4703579613345847,0.6166359253270285,0.7404858400059797,4,0
30,2,30,0.92,0.7051892907260205,0.43494033461505244,0.5380357798940136,0.9182851849818203,0.49628636906766777,0.6443398623684125,0.7977518439262209,1,0
30,2,31,0.92,0.7641514325808164,0.4502748507174406,0.5666513924523512,0.9375453078134673,0.5303624285874675,0.677479645392267,0.842014411932278,2,0
30,2,32,0.92,0.33469472746021156,0.34748573699458996,0.340970315333387,0.8199876446307742,0.2632679196313897,0.39856973450660604,0.4753610999420579,4,0
30,2,33,0.92,0.46775578196816925,0.4137411093846775,0.43909354202167306,0.9126896704053403,0.34394766903844515,0.49961508358542034,0.6185190001396871,3,0
30,2,34,0.92,0.5742046255745353,0.4401919364263103,0.4983460226600974,0.9394629155813693,0.40849146856408947,0.5693999597629154,0.7127641136713783,0,0
30,2,35,0.92,0.6593637004596283,0.45676439496676535,0.5396761589240926,0.9562373814600661,0.4601265081846049,0.6212953754944888,0.7805246300134313,1,0
30,2,36,0.92,0.5104,0.32826474857730487,0.3995549543678301,0.722060865664414,0.3742303201225676,0.49296586966827505,0.5980552828936093,4,0
30,2,37,0.92,0.60832,0.4416555737727078,0.5117603215702485,0.8118069477355665,0.3727175894313874,0.5108796300114228,0.6954848694814776,3,0
30,2,38,0.92,0.6866559999999999,0.4697041852020444,0.5578282634104044,0.8581507110447615,0.4181740715451099,0.5623276798069232,0.7628842241948,2,0
30,2,39,0.92,0.7493247999999999,0.492348674113464,0.5942449113262186,0.9222560748858954,0.46787259056942127,0.620803454598095,0.8268452448163264,2,0
30,2,40,0.92,0.7994598399999999,0.5427815728880754,0.6465782760827885,1.0000000000000002,0.4909647391222038,0.6585866536471631,0.8885553567008199,3,0
30,2,41,0.92,0.5866767359999999,0.38387151370824535,0.46408509164471135,0.7752116429882379,0.39492262399999994,0.5232709182891462,0.6678941437996727,4,0
30,2,42,0.92,0.6693413887999999,0.4981175688806705,0.5711733215917709,0.8302594396980223,0.37188476586666663,0.5136835263380954,0.7411665769595392,3,0
30,2,43,0.92,0.7354731110399999,0.5161238631241936,0.6065774065128664,0.8719502960174521,0.41417447935999996,0.5615933489421177,0.7979179525053206,4,0
30,2,44,0.92,0.788378488832,0.5253008234004282,0.6304976648081098,0.928842184087573,0.4646729168213333,0.6194519265204352,0.8528655740084627,4,0
30,2,45,0.92,0.8307027910656,0.566949417563394,0.6739394259247302,1.0,0.4884050001237334,0.6562797089275184,0.9075233785841027,3,0
30,2,46,0.92,0.8645622328524799,0.5499158060881232,0.6722429392378622,1.0,0.5240573334323201,0.6877134106918324,0.9273621632138703,1,0
30,2,47,0.92,0.891649786281984,0.5953311088274424,0.7139659395744182,1.0,0.49924586674585597,0.6659959888093331,0.9427218428570876,4,0
30,2,48,0.92,0.9133198290255871,0.5899274518755919,0.7168380695975929,1.0,0.5160633600633514,0.6807939214912321,0.9546964549996028,1,0
30,2,49,0.92,0.9306558632204698,0.6128573956666716,0.7390404006071695,1.0000000000000002,0.5061840213840145,0.6721410056108391,0.9640826010991627,4,0
30,2,50,0.92,0.9445246905763758,0.5849023585707913,0.7224335669419821,1.0,0.538280550440545,0.6998470471285462,0.9714710182429307,1,0
30,2,51,0.92,0.9556197524611008,0.5648293761520526,0.7100035094413393,1.0000000000000002,0.5639577736857694,0.7211930950753149,0.9773063002237283,2,0
30,2,52,0.92,0.9644958019688805,0.5500407988357369,0.7005602124198732,1.0,0.5844995522819486,0.7377718112197253,0.981927068515221,0,0
